work,year,domain,data,communication,method,future_qos,uncertainty,real_measurements,key_gap,url_or_doi
Ghaffarkhah & Mostofi Communication-Aware Motion Planning,2011,mobile robot,simulation/probabilistic model,RF,probabilistic channel learning + motion planning,yes,probabilistic,no,foundational CAMP; no vehicular measured-data counterfactual support,10.1109/TAC.2011.2164033
Caccamo et al. RCAMP,2017,mobile robot,simulation,RF,online radio map + resilient planner,yes,map uncertainty,no,self-repair focus; no field-measured vehicular QoS validation,10.1109/IROS.2017.8206020
Liu et al. Communication-Aware Motion Planning from STL,2017,multi-agent robot,simulation,RF Gaussian fading,joint MILP/STL planning,yes,channel model,no,formal QoS planning; no measured-data support audit,arXiv:1705.11085
Oh et al. Communication-aware UAV trajectory planning,2018,UAV,simulation/model,wireless,trajectory optimization,yes,model-based,no,UAV urban communications; not measured vehicular QoS,10.2514/1.G003099
Rahmanpour et al. Energy-aware motion/communication,2019,multi-robot,simulation,RF,joint convex co-planning,yes,probabilistic channel,no,energy/QoS co-design; no real QoS replay,10.1016/j.ins.2019.05.034
Zhang et al. Joint Communication-Motion Planning,2022,networked robots,simulation,RF/cognitive radio,JCMP framework,yes,varies,no,broad co-design; not data support/OOD focused,10.3390/app12126261
Berlin V2X dataset,2022/2023,vehicles,field measurements,LTE/sidelink,dataset + ML challenge,n/a,n/a,yes,rich RF/QoS/GPS data; dataset rather than support-aware counterfactual planner,github:fraunhoferhhi/BerlinV2X
Partani et al. Improving QoS Prediction in Urban V2X,2025,vehicles,field measurements,cellular V2X,ML throughput prediction using ego lead-vehicle and history features,yes,no,yes,real PQoS prediction exists; does not close the loop into support-aware motion decisions,IEEE VTC-Spring 2025
Ullah et al. Trajectory Planning of AVs for Target QoS,2025,autonomous vehicle,simulation,6G/mmWave,graph route planning max-min spectral efficiency,yes,not central,no,very close QoS route planning but model/simulation not measured field QoS,10.1109/ACCESS.2025.3543204
Integrated Sensing Communication and Control Driven Multi-AGV Closed-Loop Control,2025,multi-AGV,simulation,wireless/ISCC,adaptive communication-control interaction cycle,yes,control/stability,no,shows ISCC-control integration is active; not field-measured QoS support-aware planning,10.1109/TVT.2025.3546650
Gordon et al. Communication-aware Robot Motion Planning via Online Estimation of Radio Maps,2026,robot,simulation/ray tracing,cellular,service-specific risk maps + motion planning,yes,radio-map estimation,no,closest proactive QoS-risk planning; no measured vehicular leakage/support protocol,10.1109/INFOCOM59046.2026.11571354
GP-Driven Adaptive Tube MPC for Communication-Preserving Navigation,2026,mobile relay robot,simulation plus real RSSI map validation,RF/GPR,GPR radio map + uncertainty-adaptive tube MPC,yes,GP posterior plus motion tube,partial,very close uncertainty-aware communication planning; indoor relay focus and not repeated-run vehicular decision-value evaluation,10.3390/s26133981
Zhang et al. CICV5G dataset,2026,connected vehicle,field measurements,5G V2N2V,dataset + characterization,n/a,n/a,yes,enables downstream delay-aware planning but does not itself implement trajectory planner,10.1038/s41597-026-07239-7
Random Forest for QoS Prediction in Vehicular Communication,2026,vehicles,field measurements,cellular V2X,random-forest throughput prediction with statistical hyperparameter tuning,yes,no,yes,real-data PQoS is established; no motion-planning or empirical support gate,10.1016/j.engappai.2026.115754
Ma et al. Integrated Sensing and Communications for Vehicular Networks Survey,2026,vehicular networks,survey,ISAC,survey/taxonomy,n/a,n/a,n/a,establishes crowded vehicular ISAC landscape; not a measured-QoS planning solution,10.1186/s13634-026-01332-0
