parameter,symbol,current_value,unit,category,source,source_url_or_doi,justification,confidence,sensitivity_range,frozen_in_v4
carrier frequency,f_c,193.4e12,Hz,UPSTREAM,upstream reproduction notebook cell 3,https://github.com/PanagiotaGr/ISCAI_pc_fmcw/blob/main/notebooks/ISCAI_PC_FMCW.ipynb,Traceable waveform context; no optical-channel calibration implied,high (notebook); original manuscript not rechecked,not varied: upstream context,yes
chirp bandwidth,B,10e9,Hz,UPSTREAM,upstream reproduction notebook cell 3,https://github.com/PanagiotaGr/ISCAI_pc_fmcw/blob/main/notebooks/ISCAI_PC_FMCW.ipynb,Traceable waveform context; no optical-channel calibration implied,high (notebook); original manuscript not rechecked,not varied: upstream context,yes
chirp duration,T_chirp,10e-6,s,UPSTREAM,upstream reproduction notebook cell 3,https://github.com/PanagiotaGr/ISCAI_pc_fmcw/blob/main/notebooks/ISCAI_PC_FMCW.ipynb,Traceable waveform context; no optical-channel calibration implied,high (notebook); original manuscript not rechecked,not varied: upstream context,yes
communication data rate,R_b,1e9,bit/s,UPSTREAM,upstream reproduction notebook cell 3,https://github.com/PanagiotaGr/ISCAI_pc_fmcw/blob/main/notebooks/ISCAI_PC_FMCW.ipynb,Traceable waveform context; no optical-channel calibration implied,high (notebook); original manuscript not rechecked,not varied: upstream context,yes
carrier wavelength,lambda_c,1.5501e-6,m,UPSTREAM,derived as c/f_c in upstream notebook cell 3,https://github.com/PanagiotaGr/ISCAI_pc_fmcw/blob/main/notebooks/ISCAI_PC_FMCW.ipynb,Infrared value implied by upstream carrier; not a blue headlamp wavelength,high (calculation),not varied,yes
reference SNR,SNR_ref,20.0,dB,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Nominal analytical normalization; no measured PC-FMCW received power,high (implementation); low (physical calibration),unestablished,yes
reference distance,d_ref,10.0,m,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Reference for SNR normalization; no measured calibration,high (implementation); low (physical calibration),unestablished,yes
distance loss exponent,n,2.0,dimensionless,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Chosen analytical range loss; not a validated headlamp propagation law,high (implementation); low (physical calibration),unestablished,yes
angular Gaussian width,sigma_beam,0.12,rad,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Angular loss surrogate; not measured divergence or receiver field of view,high (implementation); low (physical calibration),unestablished,yes
outage threshold,gamma_out,8.0,dB,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Declared modeled endpoint threshold,high (implementation); low (physical calibration),unestablished,yes
outage softness,s_out,2.0,dB,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Logistic smoothing for modeled outage,high (implementation); low (physical calibration),unestablished,yes
optical transmitter power,P_tx,not represented,W,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,No explicit emitted power in surrogate,high (implementation); low (physical calibration),not parameterized,yes
receiver aperture/sensitivity,A_rx,not represented,m^2,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,No receiver hardware link budget in surrogate,high (implementation); low (physical calibration),not parameterized,yes
received optical power,P_rx,not represented,W,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Geometry directly maps to normalized SNR,high (implementation); low (physical calibration),not parameterized,yes
BER mapping,BER,0.5 exp(-10^(SNR_dB/10)),probability,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Analytical DPSK-compatible AWGN approximation in code; no measured curve,high (implementation); low (physical calibration),model formula,yes
goodput mapping,G,R_b (1-BER),bit/s,MODELED,PCFMCWPlanningLinkPredictor source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/connectivity/pc_fmcw_bridge.py,Simplified bit-error discount; no packet or coding model,high (implementation); low (physical calibration),model formula,yes
wheelbase,L,2.7,m,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/dynamics.py,Bicycle-model setting; not tied to a specified vehicle,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
maximum speed,v_max,30,m/s,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/feasibility.py,Planning feasibility setting,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
maximum acceleration,a_max,2.5,m/s^2,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/dynamics.py,Vehicle dynamics bound,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
maximum braking,a_min,-4.0,m/s^2,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/dynamics.py,Vehicle dynamics and fallback bound,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
maximum steering,delta_max,0.5,rad,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/dynamics.py,Steering control bound; general nominal family may exceed lateral-acceleration limit,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
maximum lateral acceleration for V4 pulse,a_lat_max,3.0,m/s^2,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/dynamics.py,Caps V4 emergency pulse steering,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
planning timestep,Delta_t,0.1,s,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/configs/experiments/part_b_final_v4.yaml,Discretization,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
candidate horizons,H_c,2 3 4 5,s,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/trajectory.py,Pre-existing trajectory lattice,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
target prediction horizon,H_p,20,steps,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/configs/experiments/part_b_final_v4.yaml,Frozen V4 planning forecast length,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
target collision distance,d_collision,2.0,m,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/configs/experiments/part_b_final_v4.yaml,Frozen realized target-collision definition,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
static clearance,d_static,1.5,m,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/src/iscai/planning/feasibility.py,Hard center-to-obstacle-surface exclusion margin,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
planning safety margin candidates,m_safety,0 0.5 1 1.5 2 2.5 3,m,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/configs/experiments/part_b_final_v4.yaml,Predeclared development-only V4 margin grid,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
target observation uncertainty,sigma_obs,0.20,m,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/configs/experiments/part_b_final_v4.yaml,Synthetic observation noise,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
P3 reported prediction uncertainty,sigma_pred,0.75,m,MODELED,planning simulation source,https://github.com/panagiotagrosdouli/pc-fmcw-robotics-planning/blob/main/configs/experiments/part_b_final_v4.yaml,Fixed assumed uncertainty for P3 forecast; not measured tracker calibration,high (implementation); physical transfer unknown,unestablished; assess only after safety gate,yes
